name,phone,email,tax_id,contact_person,address,is_active
Zenith Enterprises,+91-9100000210,zenith.enterprises198@yahoo.com,IN2127605832,Divya Sharma,"496 Nehru Nagar, Patna, BR",false
Global Enterprises,+91-9100000211,global.enterprises659@gmail.com,IN4407268054,Mohit Reddy,"568 Sector 22, Chandigarh, BR",false
Vertex Logistics,+91-9100000212,vertex.logistics151@hotmail.com,IN7756242562,Priya Joshi,"415 Civil Lines, Delhi, CH",true
Global Supplies,+91-9100000213,global.supplies774@hotmail.com,IN1901136631,Raj Mehta,"654 FC Road, Kolkata, DL",false
Summit Exports,+91-9100000214,summit.exports421@outlook.com,IN7404953301,Raj Verma,"924 FC Road, Kochi, MH",false
Fusion Traders,+91-9100000215,fusion.traders805@gmail.com,IN9434461085,Anita Sharma,"707 Nehru Nagar, Hyderabad, KL",true
Fusion Logistics,+91-9100000216,fusion.logistics507@outlook.com,IN4365055878,Karan Roy,"391 Residency Road, Mumbai, MH",true
Fusion Holdings,+91-9100000217,fusion.holdings369@outlook.com,IN6730596414,Arjun Sharma,"27 Nehru Nagar, Bengaluru, MH",false
Summit Partners,+91-9100000218,summit.partners206@rediff.com,IN8426238488,Karan Malhotra,"709 Park Street, Patna, KA",true
Prime Traders,+91-9100000219,prime.traders894@gmail.com,IN6427203098,Divya Desai,"432 Marine Drive, Chandigarh, DL",false
Nova Partners,+91-9100000220,nova.partners268@outlook.com,IN1394893182,Rahul Verma,"133 Sector 22, Hyderabad, TS",true
Nimbus Logistics,+91-9100000221,nimbus.logistics644@outlook.com,IN1512310366,Divya Sharma,"969 Civil Lines, Bengaluru, KA",false
Summit Imports,+91-9100000222,summit.imports397@yahoo.com,IN6410703069,Neha Mehta,"964 Sector 22, Kochi, BR",true
Elite Solutions,+91-9100000223,elite.solutions999@rediff.com,IN9697477787,Anita Roy,"434 FC Road, Kochi, KL",false
Nova Imports,+91-9100000224,nova.imports761@rediff.com,IN3407033243,Sneha Roy,"543 FC Road, Kolkata, KA",true
Prime Enterprises,+91-9100000225,prime.enterprises437@gmail.com,IN8030279084,Raj Desai,"420 MG Road, Bengaluru, UP",true
Summit Exports,+91-9100000226,summit.exports493@rediff.com,IN3038884134,Raj Verma,"670 Salt Lake, Kolkata, MH",true
Nimbus Solutions,+91-9100000227,nimbus.solutions525@yahoo.com,IN9015595469,Divya Joshi,"626 MG Road, Pune, MH",false
Quantum Partners,+91-9100000228,quantum.partners839@gmail.com,IN3436276304,Arjun Malhotra,"469 FC Road, Patna, DL",false
Vertex Imports,+91-9100000229,vertex.imports586@gmail.com,IN3285810277,Karan Joshi,"295 Park Street, Kanpur, WB",false
Zenith Exports,+91-9100000230,zenith.exports894@outlook.com,IN5198302012,Sneha Sharma,"805 Jubilee Hills, Kanpur, WB",false
Nova Holdings,+91-9100000231,nova.holdings338@gmail.com,IN8857458518,Divya Sharma,"6 Civil Lines, Delhi, DL",true
Zenith Enterprises,+91-9100000232,zenith.enterprises598@yahoo.com,IN5124318147,Rahul Reddy,"237 Sector 22, Kolkata, BR",false
Quantum Holdings,+91-9100000233,quantum.holdings611@gmail.com,IN1768237801,Priya Roy,"63 Nehru Nagar, Chandigarh, WB",false
Vertex Exports,+91-9100000234,vertex.exports124@yahoo.com,IN9422418791,Sneha Verma,"152 Marine Drive, Delhi, KA",true
Prime Partners,+91-9100000235,prime.partners675@yahoo.com,IN4729367685,Sneha Roy,"735 FC Road, Kolkata, CH",false
Fusion Logistics,+91-9100000236,fusion.logistics207@outlook.com,IN2599709685,Rahul Roy,"965 Civil Lines, Bengaluru, BR",false
Quantum Exports,+91-9100000237,quantum.exports305@hotmail.com,IN2847252884,Karan Roy,"202 Park Street, Pune, KA",false
Vertex Enterprises,+91-9100000238,vertex.enterprises611@rediff.com,IN1482244006,Mohit Nair,"820 Sector 22, Kanpur, KA",true
Nimbus Imports,+91-9100000239,nimbus.imports581@outlook.com,IN6879831687,Mohit Verma,"118 Sector 22, Kolkata, CH",false
Fusion Supplies,+91-9100000240,fusion.supplies193@hotmail.com,IN2204831487,Arjun Mehta,"589 FC Road, Kanpur, MH",false
Zenith Holdings,+91-9100000241,zenith.holdings392@rediff.com,IN2971945527,Mohit Malhotra,"137 Residency Road, Pune, BR",true
Vertex Supplies,+91-9100000242,vertex.supplies832@rediff.com,IN8818564811,Anita Malhotra,"415 Sector 22, Patna, MH",false
Quantum Partners,+91-9100000243,quantum.partners573@rediff.com,IN4395940230,Arjun Sharma,"901 Park Street, Kanpur, DL",false
Vertex Traders,+91-9100000244,vertex.traders562@hotmail.com,IN5248445726,Priya Sharma,"33 Marine Drive, Pune, KA",false
Zenith Enterprises,+91-9100000245,zenith.enterprises844@gmail.com,IN3380171666,Priya Sharma,"905 FC Road, Bengaluru, KA",false
Fusion Exports,+91-9100000246,fusion.exports617@yahoo.com,IN5854466349,Karan Desai,"28 Residency Road, Chandigarh, KL",true
Zenith Partners,+91-9100000247,zenith.partners658@hotmail.com,IN4862383453,Arjun Malhotra,"709 Salt Lake, Bengaluru, TS",true
Summit Supplies,+91-9100000248,summit.supplies610@yahoo.com,IN1008994200,Raj Verma,"861 MG Road, Hyderabad, CH",false
Elite Exports,+91-9100000249,elite.exports738@hotmail.com,IN9059767027,Rahul Verma,"501 Sector 22, Hyderabad, UP",true
Nova Exports,+91-9100000250,nova.exports784@rediff.com,IN9042520858,Karan Verma,"55 Marine Drive, Delhi, KA",true
Nimbus Exports,+91-9100000251,nimbus.exports629@outlook.com,IN7344001185,Neha Kumar,"768 Park Street, Bengaluru, WB",false
Summit Supplies,+91-9100000252,summit.supplies591@rediff.com,IN6223761478,Rahul Sharma,"162 Residency Road, Kanpur, BR",false
Global Exports,+91-9100000253,global.exports375@outlook.com,IN8090352046,Mohit Roy,"950 FC Road, Pune, BR",false
Zenith Imports,+91-9100000254,zenith.imports714@outlook.com,IN1021355228,Mohit Sharma,"81 Residency Road, Kanpur, CH",false
Nova Traders,+91-9100000255,nova.traders255@rediff.com,IN8502904894,Neha Malhotra,"612 FC Road, Patna, KA",true
Prime Enterprises,+91-9100000256,prime.enterprises709@yahoo.com,IN8600380768,Divya Kumar,"432 Civil Lines, Bengaluru, CH",true
Nimbus Partners,+91-9100000257,nimbus.partners661@yahoo.com,IN7072021973,Sneha Desai,"741 Civil Lines, Bengaluru, KL",true
Elite Partners,+91-9100000258,elite.partners456@gmail.com,IN4133571568,Anita Joshi,"899 MG Road, Kochi, TS",true
Fusion Partners,+91-9100000259,fusion.partners561@outlook.com,IN3198637259,Anita Desai,"149 Nehru Nagar, Chandigarh, CH",true
Global Partners,+91-9100000260,global.partners854@rediff.com,IN2545139295,Raj Sharma,"780 Civil Lines, Hyderabad, MH",false
Fusion Imports,+91-9100000261,fusion.imports836@yahoo.com,IN8822148583,Rahul Nair,"131 Residency Road, Kanpur, KA",false
Global Enterprises,+91-9100000262,global.enterprises840@yahoo.com,IN5947383698,Priya Roy,"281 Salt Lake, Mumbai, BR",true
Nova Partners,+91-9100000263,nova.partners908@hotmail.com,IN4381453548,Karan Joshi,"559 Sector 22, Kochi, MH",false
Prime Enterprises,+91-9100000264,prime.enterprises602@yahoo.com,IN6614684840,Raj Desai,"895 Residency Road, Patna, DL",true
Vertex Enterprises,+91-9100000265,vertex.enterprises518@gmail.com,IN3543695651,Sneha Mehta,"70 Civil Lines, Hyderabad, MH",false
Vertex Partners,+91-9100000266,vertex.partners709@outlook.com,IN3296039503,Sneha Nair,"743 Jubilee Hills, Mumbai, MH",false
Fusion Exports,+91-9100000267,fusion.exports826@rediff.com,IN9595600465,Sneha Kumar,"421 Nehru Nagar, Kolkata, WB",true
Vertex Holdings,+91-9100000268,vertex.holdings955@yahoo.com,IN2953084706,Sneha Mehta,"717 Residency Road, Kanpur, WB",true
Nimbus Imports,+91-9100000269,nimbus.imports752@yahoo.com,IN9567306976,Karan Mehta,"424 MG Road, Pune, KA",false
Fusion Supplies,+91-9100000270,fusion.supplies375@outlook.com,IN3046055477,Neha Kumar,"799 MG Road, Patna, KL",true
Zenith Logistics,+91-9100000271,zenith.logistics304@outlook.com,IN9844325182,Karan Joshi,"690 FC Road, Bengaluru, DL",true
Elite Imports,+91-9100000272,elite.imports946@rediff.com,IN2609234339,Divya Roy,"360 MG Road, Kolkata, MH",true
Nimbus Enterprises,+91-9100000273,nimbus.enterprises754@gmail.com,IN7197088851,Divya Mehta,"844 Marine Drive, Kolkata, TS",false
Global Traders,+91-9100000274,global.traders974@hotmail.com,IN5909581397,Karan Malhotra,"456 Residency Road, Mumbai, MH",false
Nimbus Imports,+91-9100000275,nimbus.imports538@hotmail.com,IN8261941112,Neha Sharma,"111 Jubilee Hills, Bengaluru, CH",false
Summit Holdings,+91-9100000276,summit.holdings259@yahoo.com,IN3040537844,Arjun Roy,"705 Salt Lake, Mumbai, KA",true
Fusion Enterprises,+91-9100000277,fusion.enterprises769@gmail.com,IN2094114594,Rahul Mehta,"849 Civil Lines, Kolkata, KA",false
Global Partners,+91-9100000278,global.partners729@gmail.com,IN3859449926,Arjun Mehta,"460 Nehru Nagar, Kanpur, TS",true
Zenith Enterprises,+91-9100000279,zenith.enterprises277@hotmail.com,IN2816739471,Arjun Verma,"60 Park Street, Kolkata, BR",true
